Period,MaxTemperature,MinTemperature,Humidity,Pressure,Precipitation,WindSpeed
Week 746 (1964-04-12 - 1964-04-18),27.2,14.3,53.7,1005.7,18.4,20.5
Week 747 (1964-04-19 - 1964-04-25),31.3,15.7,45.6,1006.8,0.6,16.7
Week 748 (1964-04-26 - 1964-05-02),34.7,17.8,31.4,1004.9,0.3,16.6
Week 749 (1964-05-03 - 1964-05-09),36.3,19.5,24.6,1001,0,23.1
Week 750 (1964-05-10 - 1964-05-16),32.7,19.7,43.3,1005.6,11.2,11.6
Week 751 (1964-05-17 - 1964-05-23),32.2,16.9,37.4,1003.8,19,25.3
Week 752 (1964-05-24 - 1964-05-30),35.1,17.1,27.6,1003.6,0,11.2
Week 753 (1964-05-31 - 1964-06-06),36.9,22.6,27.6,1003.2,0.7,17.7
Week 754 (1964-06-07 - 1964-06-13),39,22.6,22.4,1000.2,0.2,20.9
Week 755 (1964-06-14 - 1964-06-20),39.6,25,30,996.4,1.1,20.5
Week 756 (1964-06-21 - 1964-06-27),40.9,26.2,28.1,994.2,1.3,15.8
Week 757 (1964-06-28 - 1964-07-04),40.1,28.1,41.9,991.6,36,15.9
Week 758 (1964-07-05 - 1964-07-11),34,25.1,65.1,995.9,20.7,15.3
Week 759 (1964-07-12 - 1964-07-18),28.3,22.4,80.1,1000.7,170.1,15.2
Week 760 (1964-07-19 - 1964-07-25),32.2,22.4,72.6,1000.4,78.1,10.8
Week 761 (1964-07-26 - 1964-08-01),30.6,22.4,79.9,1000.3,31.4,12.4
Week 762 (1964-08-02 - 1964-08-08),32.8,24.7,75.7,996.6,16.2,9.9
Week 763 (1964-08-09 - 1964-08-15),31.2,24.5,82.9,998,53.6,11.6
Week 764 (1964-08-16 - 1964-08-22),28.7,23.1,85.4,999.6,376.1,14.5
Week 765 (1964-08-23 - 1964-08-29),30.2,23.2,84.1,1000.7,15.5,8.5
Week 766 (1964-08-30 - 1964-09-05),29.3,22.9,84.3,1001.3,14.7,12
Week 767 (1964-09-06 - 1964-09-12),30.4,21.7,79.7,1003.1,9.4,7.1
Week 768 (1964-09-13 - 1964-09-19),29.6,21.6,81,1004.7,14.5,8.2
Week 769 (1964-09-20 - 1964-09-26),29.4,18.1,68.6,1003.5,1.1,9.7
Week 770 (1964-09-27 - 1964-10-03),29.5,15.6,61.9,1007.7,0,9.6
Week 771 (1964-10-04 - 1964-10-10),30.2,17.4,64.9,1007.3,1.7,9.4
Week 772 (1964-10-11 - 1964-10-17),28.7,16.1,51.3,1010.5,6.6,11.7
Week 773 (1964-10-18 - 1964-10-24),28.2,12.3,38.7,1011.2,0,11.4
Week 774 (1964-10-25 - 1964-10-31),27.5,9.7,38.4,1012.6,0,9.1
Week 775 (1964-11-01 - 1964-11-07),25.6,9.2,35.3,1013.8,0,11.3
Week 776 (1964-11-08 - 1964-11-14),25.9,8.5,37.9,1014,0,9.5
Week 777 (1964-11-15 - 1964-11-21),23.1,6.8,36.1,1016.2,0,9.4
Week 778 (1964-11-22 - 1964-11-28),22.2,6.8,42.6,1016.4,1.4,14.7
Week 779 (1964-11-29 - 1964-12-05),18.5,8.7,62.6,1019.6,44.3,10.3
Week 780 (1964-12-06 - 1964-12-12),15.1,3.1,65.7,1018.3,21.8,20
Week 781 (1964-12-13 - 1964-12-19),16.8,0.8,55.4,1017.5,0,9.5
Week 782 (1964-12-20 - 1964-12-26),19.5,6.2,63.7,1017.5,0.2,9
Week 783 (1964-12-27 - 1965-01-02),18.1,4.1,63.3,1016.5,0,7.9
Week 784 (1965-01-03 - 1965-01-09),15.4,2.3,59.6,1017.4,0.8,10.1
Week 785 (1965-01-10 - 1965-01-16),20.7,4.9,52.3,1019.9,0.1,9.7
Week 786 (1965-01-17 - 1965-01-23),15.3,8,77.3,1019.5,78.2,9.7
Week 787 (1965-01-24 - 1965-01-30),17.4,4.2,66.6,1019.8,1.9,13.6
Week 788 (1965-01-31 - 1965-02-06),17.2,7.9,77.1,1013.8,89,11.6
Week 789 (1965-02-07 - 1965-02-13),16.4,3.4,68.4,1015.2,31.8,14.3
Week 790 (1965-02-14 - 1965-02-20),13.4,4.8,74.9,1014.8,51.5,10.5
Week 791 (1965-02-21 - 1965-02-27),17,2.9,57,1018.3,1.8,10.2
Week 792 (1965-02-28 - 1965-03-06),21.4,3.8,54.6,1014.3,0,10.7
Week 793 (1965-03-07 - 1965-03-13),21.8,8.4,59,1016.5,13.7,11.4
Week 794 (1965-03-14 - 1965-03-20),23.3,10.8,60.7,1011.1,67.1,15.7
Week 795 (1965-03-21 - 1965-03-27),20.4,9.8,67,1012,22.7,10.8
Week 796 (1965-03-28 - 1965-04-03),20.2,9.4,67.9,1012.2,48.9,14.8
Week 797 (1965-04-04 - 1965-04-10),23.8,12.3,63.9,1014.2,15.1,14.5
Week 798 (1965-04-11 - 1965-04-17),25,14.5,66.3,1012.3,36.6,12.3
Week 799 (1965-04-18 - 1965-04-24),22.4,13.6,74,1009.6,111.9,15.5
Week 800 (1965-04-25 - 1965-05-01),28.3,12.5,59.1,1008.1,0.4,10.8
Week 801 (1965-05-02 - 1965-05-08),29.2,15.4,58.1,1006.4,18.4,11.9
Week 802 (1965-05-09 - 1965-05-15),30.4,14.9,52.7,1006.4,0.1,10.3
Week 803 (1965-05-16 - 1965-05-22),32.8,17.7,45.7,1004.1,30.7,19
Week 804 (1965-05-23 - 1965-05-29),31.3,17.3,54.6,1002.8,0.9,13.1
Week 805 (1965-05-30 - 1965-06-05),36,20.5,36.9,999.4,2,15.5
Week 806 (1965-06-06 - 1965-06-12),36.1,20.2,37.4,1001.8,0.5,11.9
Week 807 (1965-06-13 - 1965-06-19),41.6,23.4,21.9,993.8,0,13.7
Week 808 (1965-06-20 - 1965-06-26),41,24.7,24.1,993.4,0.2,13.8
Week 809 (1965-06-27 - 1965-07-03),41,26,24.6,994.9,3.2,12.2
Week 810 (1965-07-04 - 1965-07-10),38.5,25,37.7,995,15.7,15.6
Week 811 (1965-07-11 - 1965-07-17),35.7,26,55,996.4,18.5,16.9
Week 812 (1965-07-18 - 1965-07-24),33.6,24.1,70,1000.3,37.9,12.4
Week 813 (1965-07-25 - 1965-07-31),31.8,23.8,74.4,997.8,31.9,15.5
Week 814 (1965-08-01 - 1965-08-07),32.1,22.5,74.7,998.3,5.4,8.2
Week 815 (1965-08-08 - 1965-08-14),32.6,22.9,69.7,1002.2,12.3,9.3
Week 816 (1965-08-15 - 1965-08-21),35.6,24.8,54.3,1001.3,14.7,10.9
Week 817 (1965-08-22 - 1965-08-28),29.6,22.3,76.1,1003.3,53.8,9.2
Week 818 (1965-08-29 - 1965-09-04),32.3,20.5,67.4,1002.3,1.1,10.5
Week 819 (1965-09-05 - 1965-09-11),35.4,21.8,48,1001.3,11.4,12.4
Week 820 (1965-09-12 - 1965-09-18),37.4,21.2,31.9,1003.8,2.3,10.7
Week 821 (1965-09-19 - 1965-09-25),34.7,21.9,36.4,1007.3,2.7,11.9
Week 822 (1965-09-26 - 1965-10-02),35.5,19.2,27.6,1007.5,1.1,17.8
Week 823 (1965-10-03 - 1965-10-09),32.8,17,28.9,1008.7,6,14.7
Week 824 (1965-10-10 - 1965-10-16),33,18.9,30.6,1012.7,0.7,11.3
Week 825 (1965-10-17 - 1965-10-23),31.6,17.7,35.3,1011.8,0,12.5
Week 826 (1965-10-24 - 1965-10-30),33.1,15.7,26.9,1008.6,0,10
Week 827 (1965-10-31 - 1965-11-06),30.9,15.4,25.7,1010.5,0.2,16.1
Week 828 (1965-11-07 - 1965-11-13),27.3,12.6,30.3,1014.6,2.3,15.3
Week 829 (1965-11-14 - 1965-11-20),24.6,10,47,1018.4,0.8,10
Week 830 (1965-11-21 - 1965-11-27),24.3,8.9,34.7,1017.8,0.7,13.9
Week 831 (1965-11-28 - 1965-12-04),21.9,4.5,25.7,1017.4,0,9.5
Week 832 (1965-12-05 - 1965-12-11),20.6,3.3,24.6,1017.4,0,9.4
Week 833 (1965-12-12 - 1965-12-18),20.6,1.4,23.7,1014.1,0,8.4
Week 834 (1965-12-19 - 1965-12-25),16.4,3.4,48.6,1018,32.3,11.8
Week 835 (1965-12-26 - 1966-01-01),17.2,2.4,54.6,1018.1,0,9.4
Week 836 (1966-01-02 - 1966-01-08),18.1,2,56.7,1017.8,0,10.2
Week 837 (1966-01-09 - 1966-01-15),17.8,1,49.6,1019.7,0,9.7
Week 838 (1966-01-16 - 1966-01-22),19.7,3.1,47,1019.1,0,10.5
Week 839 (1966-01-23 - 1966-01-29),20.6,2.9,43.1,1017.4,0,10.6
Week 840 (1966-01-30 - 1966-02-05),24.4,6.9,42.4,1015.5,0,10.7
Week 841 (1966-02-06 - 1966-02-12),20.9,10.8,61.3,1015.5,64.8,12
Week 842 (1966-02-13 - 1966-02-19),18.1,6,70,1015,22,11.7
Week 843 (1966-02-20 - 1966-02-26),18.4,7.3,66.7,1015.5,41.5,15
Week 844 (1966-02-27 - 1966-03-05),20.4,7.3,66.6,1011.1,47.4,18.6
Week 845 (1966-03-06 - 1966-03-12),21.3,5.3,55.4,1015.3,0.2,13.3
Week 846 (1966-03-13 - 1966-03-19),23.2,10.9,61.1,1009.5,51,18.7
Week 847 (1966-03-20 - 1966-03-26),23.3,11.2,61,1009.2,48.3,14.9
Week 848 (1966-03-27 - 1966-04-02),23.8,10.7,60.1,1013.9,15.3,12.3
Week 849 (1966-04-03 - 1966-04-09),25.2,12.3,54.6,1010.3,12.3,17.9
Week 850 (1966-04-10 - 1966-04-16),25.6,15.7,56.9,1010,17.3,14.2
Week 851 (1966-04-17 - 1966-04-23),29.2,13.8,58.6,1007.2,5.4,10
Week 852 (1966-04-24 - 1966-04-30),27.2,15.3,55.6,1010.7,32.5,16.1
Week 853 (1966-05-01 - 1966-05-07),34.8,16.9,37.6,1006,0,13.4
Week 854 (1966-05-08 - 1966-05-14),27.9,17.6,54.6,1006.8,48.4,16.8
Week 855 (1966-05-15 - 1966-05-21),36.6,18.5,34.6,1004.2,0,15.3
Week 856 (1966-05-22 - 1966-05-28),39.7,23.3,25.3,998.9,2,19
Week 857 (1966-05-29 - 1966-06-04),38.4,22.8,26.3,1001.9,3,16.5
Week 858 (1966-06-05 - 1966-06-11),41.9,24.3,17,998.7,0.3,15
Week 859 (1966-06-12 - 1966-06-18),41.8,28.7,27.6,995.5,0,13
Week 860 (1966-06-19 - 1966-06-25),33.1,25.3,68,998.4,39,19.7
Week 861 (1966-06-26 - 1966-07-02),35.8,25.7,63.6,994,25.4,14.6
Week 862 (1966-07-03 - 1966-07-09),32.2,20.4,60.9,999.8,25.5,12.6
Week 863 (1966-07-10 - 1966-07-16),36.4,25.4,52.7,996.6,5.6,14.9
Week 864 (1966-07-17 - 1966-07-23),34.8,24.8,64.3,999.3,48.4,12
Week 865 (1966-07-24 - 1966-07-30),31.3,24.4,80.1,995.7,42.3,11.6
Week 866 (1966-07-31 - 1966-08-06),29.8,23.6,85.3,998.2,78.1,9.4
Week 867 (1966-08-07 - 1966-08-13),30.1,23.3,83.9,999.3,22.9,10.7
Week 868 (1966-08-14 - 1966-08-20),30.9,23.3,83,1001,12.4,10.1
Week 869 (1966-08-21 - 1966-08-27),32.3,23.6,76.3,998.3,3.8,10.5
Week 870 (1966-08-28 - 1966-09-03),31.7,23.8,71.6,1000.8,22.5,8.8
Week 871 (1966-09-04 - 1966-09-10),29.3,21.4,78,1002.8,26.1,13.1
Week 872 (1966-09-11 - 1966-09-17),29.4,21.4,80.6,1005.5,17.4,12.2
Week 873 (1966-09-18 - 1966-09-24),28.1,17,70.6,1010,1.3,10.9
Week 874 (1966-09-25 - 1966-10-01),30.4,16.3,61.6,1008.2,0,11.6
Week 875 (1966-10-02 - 1966-10-08),26.1,16,67.3,1011.4,14.2,10.6
Week 876 (1966-10-09 - 1966-10-15),25.8,13.1,65.3,1012.2,29.6,15
Week 877 (1966-10-16 - 1966-10-22),26.9,14,59.9,1013.1,7.4,13.9
Week 878 (1966-10-23 - 1966-10-29),25.7,12.5,53.6,1013.9,1.2,13.8
Week 879 (1966-10-30 - 1966-11-05),25.4,10.6,50,1015.1,0.2,11.9
Week 880 (1966-11-06 - 1966-11-12),24.2,7.9,39.1,1014.1,0,11.5
Week 881 (1966-11-13 - 1966-11-19),23.6,6.9,36.1,1014.9,0.1,12.1
Week 882 (1966-11-20 - 1966-11-26),22.5,6.3,41.3,1015.8,0,13.2
Week 883 (1966-11-27 - 1966-12-03),20.2,3.4,39.3,1016.7,0,12.7
Week 884 (1966-12-04 - 1966-12-10),19.6,1.9,41.4,1016.1,0,12
Week 885 (1966-12-11 - 1966-12-17),20.4,4.2,43.9,1014.6,0,11.1
Week 886 (1966-12-18 - 1966-12-24),20,2.3,36.7,1014.5,0,9.6
Week 887 (1966-12-25 - 1966-12-31),15.6,4.6,60.9,1016.8,3.8,10.5
Week 888 (1967-01-01 - 1967-01-07),15.1,0.7,48.7,1019.2,0.2,9.2
Week 889 (1967-01-08 - 1967-01-14),16,0,46.6,1020.4,0.3,13.8
Week 890 (1967-01-15 - 1967-01-21),18,0.2,47.1,1020.1,0,9.2
Week 891 (1967-01-22 - 1967-01-28),17.7,4.1,55.7,1016.3,4.6,10.7
Week 892 (1967-01-29 - 1967-02-04),20.8,2.6,36.4,1016.6,0.8,11.4
Week 893 (1967-02-05 - 1967-02-11),21.7,7.5,49.4,1012.7,22.9,12
Week 894 (1967-02-12 - 1967-02-18),20.2,8.2,48.7,1018,34.9,9.6
Week 895 (1967-02-19 - 1967-02-25),17.2,5.6,68.1,1014,72.5,11.9
Week 896 (1967-02-26 - 1967-03-04),22.5,8.2,55.4,1014,14.5,15.1
Week 897 (1967-03-05 - 1967-03-11),25.1,8,48,1012.8,7.2,14.8
Week 898 (1967-03-12 - 1967-03-18),20.1,10,74.4,1013.3,86.6,13.3
Week 899 (1967-03-19 - 1967-03-25),20,8.9,71.4,1007.9,122.1,23
Week 900 (1967-03-26 - 1967-04-01),20.3,7.6,67.7,1012.2,19.5,14.4
Week 901 (1967-04-02 - 1967-04-08),21.9,9.8,64.1,1013.2,20.7,15.6
Week 902 (1967-04-09 - 1967-04-15),26.9,11.8,55.7,1011.4,0.3,12.6
Week 903 (1967-04-16 - 1967-04-22),30.4,15.3,48,1007.2,2.9,12.6
Week 904 (1967-04-23 - 1967-04-29),30.1,16.5,55.7,1006.9,77.2,13.7
Week 905 (1967-04-30 - 1967-05-06),26.7,14.7,61.1,1007.3,10.1,10.6
Week 906 (1967-05-07 - 1967-05-13),32.4,16.8,44.7,1004.7,1.1,16.1
Week 907 (1967-05-14 - 1967-05-20),36.1,17.5,29.6,1000.8,0.3,15
Week 908 (1967-05-21 - 1967-05-27),34.1,19.7,41.4,1002.7,9.2,24.3
Week 909 (1967-05-28 - 1967-06-03),38.2,20.2,28.3,1001.5,0.3,12.4
Week 910 (1967-06-04 - 1967-06-10),40.5,24,23,996,0.4,17.5
Week 911 (1967-06-11 - 1967-06-17),37.8,24.3,36.4,999.3,14.7,15.6
Week 912 (1967-06-18 - 1967-06-24),39.2,23.7,32.1,997.2,0.1,11.5
Week 913 (1967-06-25 - 1967-07-01),38.7,27.8,43.7,995.1,11.9,12.6
Week 914 (1967-07-02 - 1967-07-08),35.6,25.1,64.6,996.3,16.1,15
Week 915 (1967-07-09 - 1967-07-15),36.3,26.5,61.7,994.6,15.2,15.5
Week 916 (1967-07-16 - 1967-07-22),34.7,25.8,67.7,999.4,24.2,11.3
Week 917 (1967-07-23 - 1967-07-29),30.9,24,81.6,997.8,71.1,16.2
Week 918 (1967-07-30 - 1967-08-05),30.7,24.1,83.3,997.4,91.7,13
Week 919 (1967-08-06 - 1967-08-12),31,23.5,82.4,997.9,54.4,8.9
Week 920 (1967-08-13 - 1967-08-19),30.6,23.8,82.7,998.3,62.8,10.6
Week 921 (1967-08-20 - 1967-08-26),30.5,22.8,82,999.1,58.5,9.6
Week 922 (1967-08-27 - 1967-09-02),31.1,21.6,76.9,1002.3,2.5,10.5
Week 923 (1967-09-03 - 1967-09-09),31.5,22.9,76.3,1002.6,10.7,10.5
Week 924 (1967-09-10 - 1967-09-16),30.2,23.1,79.7,1002.5,37.2,10.9
Week 925 (1967-09-17 - 1967-09-23),31,19.6,74.3,1003.5,0.2,11
Week 926 (1967-09-24 - 1967-09-30),28.6,18.2,70.3,1006.8,38.4,13.8
Week 927 (1967-10-01 - 1967-10-07),29.1,16.5,61.6,1009.4,1.5,11.3
Week 928 (1967-10-08 - 1967-10-14),28.5,14.4,55.1,1010.1,1.4,12
Week 929 (1967-10-15 - 1967-10-21),27.5,13.4,54.6,1013.5,2,18.3
Week 930 (1967-10-22 - 1967-10-28),23.4,12.4,65,1015.4,35.9,10.5
Week 931 (1967-10-29 - 1967-11-04),25.3,10.1,58.9,1016.1,0,9.4
Week 932 (1967-11-05 - 1967-11-11),23.1,9.8,57.6,1015.7,0.7,10.4
Week 933 (1967-11-12 - 1967-11-18),20.7,7,55.3,1016.5,4.1,9.8
Week 934 (1967-11-19 - 1967-11-25),20.1,8.3,67.9,1017.1,3.9,9.9
Week 935 (1967-11-26 - 1967-12-02),18.3,6.6,65.4,1014.9,25.4,9.6
Week 936 (1967-12-03 - 1967-12-09),16.8,3.2,62.3,1018.4,21.2,10.1
Week 937 (1967-12-10 - 1967-12-16),17.2,5.6,64.6,1021,4.6,13
Week 938 (1967-12-17 - 1967-12-23),16.7,4.6,67.7,1016.7,46.2,9.3
Week 939 (1967-12-24 - 1967-12-30),14.1,6.2,80.9,1016.7,78.3,19.7
Week 940 (1967-12-31 - 1968-01-06),15.8,1.9,68.6,1017.9,0.2,10
Week 941 (1968-01-07 - 1968-01-13),13.8,3.5,73.7,1018.8,11.1,10.5
Week 942 (1968-01-14 - 1968-01-20),15,1,72.3,1015.9,39.6,18.4
Week 943 (1968-01-21 - 1968-01-27),12.6,3.1,73.7,1017.2,22.9,11.1
Week 944 (1968-01-28 - 1968-02-03),12.4,1,72.6,1016.2,24.5,10
Week 945 (1968-02-04 - 1968-02-10),13,1.5,71.9,1017.5,20,10.7
Week 946 (1968-02-11 - 1968-02-17),16.5,3.4,66.9,1015.1,6.8,11.2
Week 947 (1968-02-18 - 1968-02-24),16.7,5.6,74.3,1016.7,34.3,10.3
Week 948 (1968-02-25 - 1968-03-02),19,6.7,71.3,1016.8,29.6,10.5
Week 949 (1968-03-03 - 1968-03-09),23.3,8,66.9,1014.8,2.2,11.4
Week 950 (1968-03-10 - 1968-03-16),23.9,11.6,68.6,1012.2,10.4,15.9
Week 951 (1968-03-17 - 1968-03-23),20.2,9.8,74.6,1007.1,104.1,14.2
Week 952 (1968-03-24 - 1968-03-30),19.9,8,69.6,1010.2,43.4,13.1
Week 953 (1968-03-31 - 1968-04-06),25.1,8.8,58.4,1009.8,16,18.6
Week 954 (1968-04-07 - 1968-04-13),24.8,12.8,65.4,1011.3,48.1,18.3
Week 955 (1968-04-14 - 1968-04-20),26.8,12,67.9,1011.2,46.7,14.1
Week 956 (1968-04-21 - 1968-04-27),31.5,17.2,60.4,1006.9,5.3,13
Week 957 (1968-04-28 - 1968-05-04),31.4,18.8,55.7,1004.1,11.1,22.2
Week 958 (1968-05-05 - 1968-05-11),26.5,14.9,59.3,1007,17.3,17.1
Week 959 (1968-05-12 - 1968-05-18),32,17.1,48.4,1005.8,1.8,19.8
Week 960 (1968-05-19 - 1968-05-25),30.4,19.7,57.1,1004.7,8.2,13.5
Week 961 (1968-05-26 - 1968-06-01),34.8,19.7,45.6,1003.2,4.2,13.2
Week 962 (1968-06-02 - 1968-06-08),37,21.3,42.3,1000.6,2.8,13.4
Week 963 (1968-06-09 - 1968-06-15),38.4,23.8,41.1,997,2.4,12
Week 964 (1968-06-16 - 1968-06-22),40.9,25.1,32.6,993.5,0.8,16.2
Week 965 (1968-06-23 - 1968-06-29),37.8,26.5,49.4,996.2,9.3,12.9
Week 966 (1968-06-30 - 1968-07-06),38.6,26.7,45.1,995.6,1.4,12.7
Week 967 (1968-07-07 - 1968-07-13),34.9,26.5,65,994.6,58.5,17.6
Week 968 (1968-07-14 - 1968-07-20),32.1,23.5,78,998.8,36.9,10.1
Week 969 (1968-07-21 - 1968-07-27),32.7,23,67.7,999.1,23.4,11.7
Week 970 (1968-07-28 - 1968-08-03),31.5,24,76.9,998.3,51.3,16.6
Week 971 (1968-08-04 - 1968-08-10),30.9,24.2,82.6,999,61.3,12.4
Week 972 (1968-08-11 - 1968-08-17),30.5,24,82.4,999,74.6,8.3
Week 973 (1968-08-18 - 1968-08-24),30.2,23.4,83,999.3,37.4,9.8
Week 974 (1968-08-25 - 1968-08-31),31,20.2,72,1003.2,23.5,10.8
Week 975 (1968-09-01 - 1968-09-07),32.1,21.3,69.6,1002.4,4,8.4
Week 976 (1968-09-08 - 1968-09-14),33.4,22.1,66.9,1003.2,1.7,8.6
Week 977 (1968-09-15 - 1968-09-21),32.1,20.9,65.6,1005.5,20.6,14.5
Week 978 (1968-09-22 - 1968-09-28),34.3,18.8,50.1,1006,2.7,12.4
Week 979 (1968-09-29 - 1968-10-05),31.5,18.6,51.1,1006.3,9.9,14.2
Week 980 (1968-10-06 - 1968-10-12),24.9,14.6,62.9,1012.7,20.2,12.9
Week 981 (1968-10-13 - 1968-10-19),25.8,12.8,59.6,1015,1.7,11.8
Week 982 (1968-10-20 - 1968-10-26),27.6,11.7,52.3,1013.9,0,8.6
Week 983 (1968-10-27 - 1968-11-02),21.5,12.4,68.9,1015.6,31.5,11.6
Week 984 (1968-11-03 - 1968-11-09),23.4,8,59,1015.9,0.2,10.3
Week 985 (1968-11-10 - 1968-11-16),22.2,8.9,61.4,1019,4.8,12
Week 986 (1968-11-17 - 1968-11-23),20.9,7.5,63.6,1020,1.3,11.3
Week 987 (1968-11-24 - 1968-11-30),20.1,4.4,52.7,1019.2,0,10.2
Week 988 (1968-12-01 - 1968-12-07),19.4,5.9,60.6,1018.6,0.8,10.5
Week 989 (1968-12-08 - 1968-12-14),17.1,7.7,74.6,1017,61.1,10.2
Week 990 (1968-12-15 - 1968-12-21),16.7,4.6,65.9,1020.9,0.2,10.7
Week 991 (1968-12-22 - 1968-12-28),14,0.3,67.3,1017.2,0.6,8.7
Week 992 (1968-12-29 - 1969-01-04),13.9,1,62.1,1017.6,0.2,9.9
Week 993 (1969-01-05 - 1969-01-11),15.1,2,59.9,1019.3,0.4,11.7
Week 994 (1969-01-12 - 1969-01-18),13.8,1.2,67.1,1017.5,8.1,8.2
Week 995 (1969-01-19 - 1969-01-25),17.3,2.8,59.7,1016.6,1.3,9.7
Week 996 (1969-01-26 - 1969-02-01),14.7,2.9,73.7,1010.3,72,22.7
Week 997 (1969-02-02 - 1969-02-08),15.6,-0.2,57.4,1019,0,10.9
Week 998 (1969-02-09 - 1969-02-15),15.9,5.5,70.7,1014.6,37.4,11.4
Week 999 (1969-02-16 - 1969-02-22),16.6,4.5,73.7,1015.7,44.3,11
Week 1000 (1969-02-23 - 1969-03-01),19.4,8.6,71.6,1016.3,48.8,10.8
Week 1001 (1969-03-02 - 1969-03-08),23.4,9.5,66,1014.8,4.3,14.6
Week 1002 (1969-03-09 - 1969-03-15),27.7,10.3,60.7,1011.2,0,8.6
Week 1003 (1969-03-16 - 1969-03-22),23.3,12.1,66.7,1010.5,66.4,18.4
Week 1004 (1969-03-23 - 1969-03-29),23.9,11.8,67.9,1012,66.5,16.6
Week 1005 (1969-03-30 - 1969-04-05),27.9,11.3,51.7,1010.7,0,14.8
Week 1006 (1969-04-06 - 1969-04-12),29.2,15,56.7,1012.2,8.2,17.8
Week 1007 (1969-04-13 - 1969-04-19),26.7,14.6,62,1007.9,19.2,15.4
Week 1008 (1969-04-20 - 1969-04-26),24.3,11.6,62.1,1011.2,29,14.8
Week 1009 (1969-04-27 - 1969-05-03),24.4,12.8,66.1,1009.1,47.6,13.6
Week 1010 (1969-05-04 - 1969-05-10),31.2,17.8,57.4,1008.3,2.6,16
Week 1011 (1969-05-11 - 1969-05-17),27.2,16.4,66,1008.2,42,14.9
Week 1012 (1969-05-18 - 1969-05-24),31.3,18.3,54,1004.4,1.8,16.4
Week 1013 (1969-05-25 - 1969-05-31),37.6,18.8,37.4,999.3,0,10.6
Week 1014 (1969-06-01 - 1969-06-07),36.9,21.8,32.9,999.4,2.3,19.6
Week 1015 (1969-06-08 - 1969-06-14),38.5,22.7,27.9,997.3,0.7,18.4
Week 1016 (1969-06-15 - 1969-06-21),39.8,24.5,30.6,995.6,0.1,16.6
Week 1017 (1969-06-22 - 1969-06-28),38.2,24,34.7,998.2,4,13.7
Week 1018 (1969-06-29 - 1969-07-05),37.3,25.4,41.6,998.2,0.7,13
Week 1019 (1969-07-06 - 1969-07-12),36.7,26.8,58.3,997.1,15.2,13.4
Week 1020 (1969-07-13 - 1969-07-19),33.1,25.1,72,996.6,22.3,12.3
Week 1021 (1969-07-20 - 1969-07-26),30.4,24.8,78.7,999.4,39.1,16.2
Week 1022 (1969-07-27 - 1969-08-02),33.2,23,71.7,996.3,21.6,11.8
Week 1023 (1969-08-03 - 1969-08-09),32.6,25.4,74.9,996.5,15.1,18.7
Week 1024 (1969-08-10 - 1969-08-16),28.8,24.1,87.7,1000.5,63.9,14.7
Week 1025 (1969-08-17 - 1969-08-23),29.1,22.1,85.6,1002.4,82.5,11.9
Week 1026 (1969-08-24 - 1969-08-30),31.9,21.9,76.9,1004.5,3.1,10.7
Week 1027 (1969-08-31 - 1969-09-06),32.7,23,71,1002.4,2.8,9.5
Week 1028 (1969-09-07 - 1969-09-13),30.1,20.8,79.1,1004.1,25,9.9
Week 1029 (1969-09-14 - 1969-09-20),29.7,18.1,69.4,1006,9.3,12.1
Week 1030 (1969-09-21 - 1969-09-27),31,18.7,63.9,1006,0,12.9
Week 1031 (1969-09-28 - 1969-10-04),30.7,17.8,56,1008.4,3.2,14.6
Week 1032 (1969-10-05 - 1969-10-11),29.9,17.4,55.4,1011.5,15.1,13.2
Week 1033 (1969-10-12 - 1969-10-18),27.3,15.3,63.6,1013.2,4,10
Week 1034 (1969-10-19 - 1969-10-25),28.3,14.1,54.7,1011.7,0.7,11.3
Week 1035 (1969-10-26 - 1969-11-01),25.7,13.8,64.1,1013.6,34.3,15.6
Week 1036 (1969-11-02 - 1969-11-08),25.9,12.7,62.9,1015.2,0,13.2
Week 1037 (1969-11-09 - 1969-11-15),22.9,11.5,68.3,1014.5,6.1,10.9
Week 1038 (1969-11-16 - 1969-11-22),20.6,7.6,59.4,1017,3.6,13.6
Week 1039 (1969-11-23 - 1969-11-29),19.7,3.7,54.6,1018.6,0,10.4
Week 1040 (1969-11-30 - 1969-12-06),19.5,4.1,58.7,1018,0,8.9
Week 1041 (1969-12-07 - 1969-12-13),19.1,4.5,62.6,1017.6,3.5,10.3
Week 1042 (1969-12-14 - 1969-12-20),19.1,3,58.9,1018.3,0,7.5
Week 1043 (1969-12-21 - 1969-12-27),17.9,2.1,59,1020,0,6.7
Week 1044 (1969-12-28 - 1970-01-03),18.3,5,63.1,1020.3,2.2,9.8
Week 1045 (1970-01-04 - 1970-01-10),16.9,2.9,55.4,1018.4,0.1,9.2
Week 1046 (1970-01-11 - 1970-01-17),15,4.5,68.3,1019.7,3.8,11.5
Week 1047 (1970-01-18 - 1970-01-24),16.1,4,62,1016.2,5,11.7
Week 1048 (1970-01-25 - 1970-01-31),12.7,2.4,74.1,1016.4,46.8,9.9
Week 1049 (1970-02-01 - 1970-02-07),16.2,0.6,59.7,1018.4,0,10.8
Week 1050 (1970-02-08 - 1970-02-14),19.3,1.5,58.9,1018.5,0,11.8
Week 1051 (1970-02-15 - 1970-02-21),21.1,6.2,58.1,1015,2.7,10.3
Week 1052 (1970-02-22 - 1970-02-28),15.5,7.6,76.4,1013.1,60.4,14.8
